epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.0675,1.86859,3.67626,1.46261,0.01056,0.58443,0.01025,0.0048,1.30886,3.53111,1.20001,1.667e-05,1.667e-05,1.667e-05
2,34.3034,1.79748,3.63494,1.46793,0.01232,0.60417,0.02029,0.00881,1.29438,3.51978,1.18395,4.90198e-05,4.90198e-05,4.90198e-05
3,48.9577,1.6404,3.55503,1.36593,0.01635,0.64474,0.04731,0.01835,1.2965,3.50338,1.16992,8.00493e-05,8.00493e-05,8.00493e-05
4,66.0769,1.57195,3.37839,1.28435,0.02442,0.72368,0.0773,0.03169,1.2811,3.47504,1.14828,0.000109759,0.000109759,0.000109759
5,82.5028,1.5729,3.10375,1.28214,0.03051,0.7818,0.10686,0.05163,1.2501,3.42355,1.1145,0.000138148,0.000138148,0.000138148
6,98.3899,1.54756,2.7148,1.26236,0.03198,0.79934,0.15683,0.08704,1.23215,3.3407,1.07645,0.000165216,0.000165216,0.000165216
7,114.487,1.54381,2.39368,1.21798,0.03356,0.82018,0.18982,0.10066,1.24406,3.22646,1.05543,0.000190965,0.000190965,0.000190965
8,129.232,1.54421,2.08089,1.19294,0.03704,0.85746,0.20276,0.10306,1.27097,3.05561,1.05321,0.000215393,0.000215393,0.000215393
9,148.052,1.55689,1.75166,1.19389,0.04308,0.89583,0.22377,0.11578,1.29735,2.94543,1.0606,0.000238501,0.000238501,0.000238501
10,162.668,1.48976,1.65962,1.21269,0.89573,0.13317,0.25963,0.13902,1.32684,2.83015,1.0691,0.000260289,0.000260289,0.000260289
11,180.044,1.47327,1.63583,1.2133,0.89865,0.09759,0.33205,0.19398,1.37235,2.72705,1.08486,0.000280756,0.000280756,0.000280756
12,195.801,1.49988,1.59824,1.21169,0.88861,0.10711,0.49959,0.3294,1.38359,2.62586,1.08959,0.000299903,0.000299903,0.000299903
13,212.053,1.53629,1.48964,1.18726,0.87576,0.11938,0.50707,0.36207,1.34253,2.52708,1.07349,0.00031773,0.00031773,0.00031773
14,226.612,1.39134,1.57916,1.22587,0.87802,0.12573,0.51153,0.36412,1.31478,2.46134,1.06548,0.000334237,0.000334237,0.000334237
15,241.451,1.35959,1.43727,1.14798,0.86537,0.12498,0.50137,0.36322,1.30263,2.42234,1.06315,0.000349423,0.000349423,0.000349423
