epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.3267,1.86859,3.67626,1.46261,0.01056,0.58443,0.01025,0.0048,1.30886,3.53111,1.20001,1.667e-05,1.667e-05,1.667e-05
2,37.4463,1.79803,3.63561,1.4682,0.01199,0.60088,0.01976,0.00862,1.29386,3.52091,1.18486,4.75345e-05,4.75345e-05,4.75345e-05
3,52.6185,1.64321,3.55938,1.3669,0.01509,0.63268,0.046,0.01759,1.29519,3.50693,1.17095,7.50984e-05,7.50984e-05,7.50984e-05
4,69.666,1.57561,3.39462,1.28779,0.02558,0.73246,0.07485,0.03073,1.28209,3.48083,1.15192,9.93615e-05,9.93615e-05,9.93615e-05
5,84.9258,1.57678,3.14977,1.28738,0.03352,0.80592,0.11151,0.0478,1.25473,3.43944,1.12464,0.000120324,0.000120324,0.000120324
6,100.057,1.54946,2.79884,1.26496,0.03423,0.81689,0.15799,0.09263,1.23071,3.37865,1.09299,0.000137986,0.000137986,0.000137986
7,114.327,1.54017,2.53101,1.21598,0.0348,0.83114,0.23759,0.14424,1.23964,3.29666,1.07194,0.000152347,0.000152347,0.000152347
8,129.107,1.55453,2.25593,1.19646,0.03755,0.86404,0.18942,0.09688,1.24115,3.16934,1.04471,0.000163408,0.000163408,0.000163408
9,143.356,1.56558,1.92746,1.18691,0.03837,0.875,0.20569,0.1035,1.26814,3.09966,1.04954,0.000171168,0.000171168,0.000171168
10,157.187,1.51429,1.75714,1.20615,0.04059,0.89803,0.22725,0.11835,1.28418,3.02167,1.05279,0.000175627,0.000175627,0.000175627
11,171.006,1.47199,1.56384,1.17065,0.04284,0.92105,0.27103,0.14477,1.3043,2.94726,1.06036,0.000176785,0.000176785,0.000176785
12,184.943,1.46384,1.67803,1.21235,0.04377,0.92873,0.47953,0.28739,1.32562,2.88679,1.07044,0.000174643,0.000174643,0.000174643
13,210.469,1.45176,1.5902,1.18219,0.04388,0.93202,0.48219,0.28816,1.3198,2.83605,1.0788,0.000169201,0.000169201,0.000169201
14,224.464,1.48791,1.53266,1.17804,0.06088,0.90241,0.47762,0.28769,1.30576,2.78761,1.08066,0.000160457,0.000160457,0.000160457
15,238.654,1.43902,1.52942,1.17552,0.15783,0.85636,0.46918,0.29132,1.283,2.74861,1.07742,0.000148413,0.000148413,0.000148413
16,253.555,1.40212,1.45301,1.15451,0.35666,0.80605,0.47011,0.29454,1.26212,2.71779,1.06978,0.000133068,0.000133068,0.000133068
17,268.153,1.34028,1.51475,1.17488,0.36485,0.79905,0.46862,0.32067,1.25336,2.68998,1.06431,0.000114423,0.000114423,0.000114423
18,282.862,1.36376,1.4686,1.17153,0.40225,0.77083,0.46734,0.32182,1.24831,2.66146,1.06015,9.24768e-05,9.24768e-05,9.24768e-05
19,299.406,1.35546,1.43054,1.15942,0.42742,0.75768,0.46887,0.32459,1.24562,2.63385,1.0588,6.72301e-05,6.72301e-05,6.72301e-05
20,313.701,1.33995,1.40694,1.13096,0.44406,0.75,0.47531,0.32782,1.24295,2.60543,1.05855,3.86827e-05,3.86827e-05,3.86827e-05
