epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,83.3122,2.18794,4.11382,1.94858,0.00409,0.20924,0.01031,0.00377,2.128,4.39001,1.8064,8.574e-05,8.574e-05,8.574e-05
2,164.292,2.11906,3.71376,1.84628,0.00661,0.26,0.11658,0.06275,1.9904,4.19221,1.57492,0.000176574,0.000176574,0.000176574
3,236.62,2.20264,3.29608,1.83305,0.00701,0.27385,0.12737,0.07284,1.97483,4.08757,1.59401,0.000257506,0.000257506,0.000257506
4,308.016,2.06011,2.92876,1.70777,0.00601,0.25679,0.13717,0.07589,1.95649,4.00759,1.62368,0.000328534,0.000328534,0.000328534
5,379.496,1.98809,2.82729,1.6824,0.00718,0.27117,0.13082,0.07628,1.8652,3.91774,1.59288,0.00038966,0.00038966,0.00038966
6,453.757,1.9469,2.64411,1.65344,0.00871,0.30428,0.15659,0.0979,1.8678,3.78726,1.58944,0.000440882,0.000440882,0.000440882
7,532.135,1.9749,2.7606,1.7432,0.008,0.30167,0.15662,0.08729,1.79828,3.75741,1.55633,0.000482202,0.000482202,0.000482202
8,611.578,1.90963,2.61326,1.70075,0.84426,0.09315,0.15174,0.07539,1.78977,3.58266,1.55116,0.000513618,0.000513618,0.000513618
9,691.67,1.95229,2.49584,1.66196,0.76612,0.0321,0.13316,0.05203,1.80789,3.38033,1.55766,0.000535132,0.000535132,0.000535132
10,773.05,1.91513,2.47316,1.63585,0.56838,0.08415,0.10393,0.03586,1.78737,3.38864,1.58399,0.000546743,0.000546743,0.000546743
11,851.426,2.02745,2.90318,1.78372,0.60275,0.12099,0.10206,0.0464,1.83664,3.52095,1.65961,0.00054845,0.00054845,0.00054845
12,929.629,2.00923,2.98174,1.76774,0.71935,0.13994,0.26479,0.15834,1.84385,3.25692,1.70906,0.000540255,0.000540255,0.000540255
13,1000.17,1.85276,2.52913,1.67966,0.68705,0.1671,0.30803,0.17075,1.79906,3.12037,1.65092,0.000522157,0.000522157,0.000522157
14,1071.03,1.86573,2.55684,1.66086,0.68712,0.19485,0.34818,0.20944,1.73032,2.93222,1.56067,0.000494155,0.000494155,0.000494155
15,1146.72,1.81039,2.43798,1.65598,0.6276,0.22424,0.38805,0.22238,1.724,2.81628,1.5282,0.000438703,0.000438703,0.000438703
16,1217.5,1.7893,2.50012,1.60057,0.60288,0.32973,0.42466,0.24292,1.71003,2.61428,1.50543,0.000367967,0.000367967,0.000367967
17,1289.77,1.85398,2.58493,1.66685,0.38225,0.37048,0.4534,0.25672,1.68099,2.5752,1.48999,0.000297232,0.000297232,0.000297232
18,1362.65,1.79852,2.43976,1.66166,0.53466,0.41546,0.53707,0.30489,1.62846,2.4778,1.46565,0.000226497,0.000226497,0.000226497
19,1435.95,1.74177,2.40271,1.58688,0.59699,0.49732,0.58337,0.34116,1.59378,2.34977,1.44253,0.000155761,0.000155761,0.000155761
20,1515.1,1.68029,2.29003,1.56403,0.69862,0.51828,0.6139,0.36152,1.56488,2.23101,1.42482,8.50255e-05,8.50255e-05,8.50255e-05
