Org_Identifier,Org_FormalName,Project_Identifier,Project_Name,Project_QAPPApproved,Project_QAPPApprovalAgency,ProjectAttachment_FileName,ProjectAttachment_FileType,Location_Identifier,Location_Name,Location_Type,Location_Description,Location_State,Location_CountryName,Location_CountyName,Location_CountryCode,Location_StatePostalCode,Location_CountyCode,Location_HUCEightDigitCode,Location_HUCTwelveDigitCode,Location_TribalLandIndicator,Location_TribalLand,Location_Latitude,Location_Longitude,Location_HorzCoordReferenceSystemDatum,Location_LatitudeStandardized,Location_LongitudeStandardized,Location_HorzCoordStandardizedDatum,AlternateLocation_IdentifierCount,Activity_ActivityIdentifier,Activity_ActivityIdentifierUserSupplied,Activity_TypeCode,Activity_Media,Activity_MediaSubdivision,Activity_BottomDepthSamplingComponent,ActivityBiological_AssemblageSampled,ActivityBiological_ToxicityTestType,Activity_ConductingOrganization,Activity_Comment,ActivityLocation_Latitude,ActivityLocation_Longitude,ActivityLocation_HorzCoordReferenceSystemDatum,ActivityLocation_SourceMapScale,ActivityLocation_LatitudeStandardized,ActivityLocation_LongitudeStandardized,ActivityLocation_HorzCoordStandardizedDatum,ActivityLocation_HorzAccuracyMeasure,ActivityLocation_HorzAccuracyMeasureUnit,ActivityLocation_HorizontalAccuracyHorzCollectionMethod,ActivityLocation_Description,Activity_StartDate,Activity_StartTime,Activity_StartTimeZone,Activity_EndDate,Activity_EndTime,Activity_EndTimeZone,Activity_DepthHeightMeasure,Activity_DepthHeightMeasureUnit,Activity_BottomDepthAltitudeReferencePoint,Activity_ActivityRelativeDepth,Activity_TopDepthMeasure,Activity_TopDepthMeasureUnit,Activity_BottomDepthMeasure,Activity_BottomDepthMeasureUnit,SampleCollectionMethod_Identifier,SampleCollectionMethod_IdentifierContext,SampleCollectionMethod_Name,SampleCollectionMethod_QualifierTypeName,SampleCollectionMethod_Description,SampleCollectionMethod_EquipmentName,SampleCollectionMethod_EquipmentComment,SamplePrepMethod_Identifier,SamplePrepMethod_IdentifierContext,SamplePrepMethod_Name,SamplePrepMethod_QualifierType,SamplePrepMethod_Description,SamplePrepMethod_ContainerLabel,SamplePrepMethod_ContainerType,SamplePrepMethod_ContainerColor,SamplePrepMethod_ChemicalPreservativeUsed,SamplePrepMethod_ThermalPreservativeUsed,SamplePrepMethod_TransportStorageDescription,Activity_HydrologicCondition,Activity_HydrologicEvent,ActivityAttachment_FileName,ActivityAttachment_FileType,ActivityAttachment_FileDownload,Result_DataLoggerLine,Result_ResultDetectionCondition,Result_Characteristic,Result_CharacteristicUserSupplied,Result_CASNumber,Result_MethodSpeciation,Result_SampleFraction,ResultBiological_Intent,ResultBiological_IndividualIdentifier,ResultBiological_Taxon,ResultBiological_TaxonUserSupplied,ResultBiological_TaxonUserSuppliedReference,ResultBiological_UnidentifiedSpeciesIdentifier,ResultBiological_SampleTissueAnatomy,ResultBiological_GroupSummaryCount,GroupSummaryWeight_Measure,GroupSummaryWeight_MeasureUnit,ResultDepthHeight_Measure,ResultDepthHeight_MeasureUnit,ResultDepthHeight_AltitudeReferencePoint,ResultDepthHeight_SamplingPointName,ResultDepthHeight_SamplingPointType,ResultDepthHeight_SamplingPointPlaceInSeries,ResultDepthHeight_SamplingPointComment,ResultDepthHeight_RecordIdentifierUserSupplied,Result_MeasureIdentifier,Result_Measure,Result_MeasureUnit,Result_MeasureQualifierCode,Result_MeasureStatusIdentifier,Result_StatisticalBase,Result_StatisticalNValue,Result_MeasureType,Result_WeightBasis,Result_TimeBasis,Result_MeasureTemperatureBasis,Result_MeasureParticleSizeBasis,DataQuality_PrecisionValue,DataQuality_BiasValue,DataQuality_ConfidenceIntervalValue,DataQuality_UpperConfidenceLimitValue,DataQuality_LowerConfidenceLimitValue,DataQuality_ResultComment,DetectionLimit_TypeA,DetectionLimit_MeasureA,DetectionLimit_MeasureUnitA,DetectionLimit_CommentA,DetectionLimit_TypeB,DetectionLimit_MeasureB,DetectionLimit_MeasureUnitB,DetectionLimit_CommentB,LabInfo_LabSampleSplitRatio,LabInfo_LabAccreditationIndicator,LabInfo_LabAccreditationAuthority,LabInfo_TaxonAccreditationIndicator,LabInfo_TaxonAccreditationAuthority,ResultAnalyticalMethod_Identifier,ResultAnalyticalMethod_IdentifierContext,ResultAnalyticalMethod_Name,ResultAnalyticalMethod_QualifierType,ResultAnalyticalMethod_Description,Result_ComparableMethodIdentifier,Result_ComparableMethodIdentifierContext,Result_ComparableMethodModification,LabInfo_Name,LabInfo_AnalysisStartDate,LabInfo_AnalysisStartTime,LabInfo_AnalysisStartTimeZone,LabInfo_AnalysisEndDate,LabInfo_AnalysisEndTime,LabInfo_AnalysisEndTimeZone,LabInfo_LaboratoryComment,LabSamplePrepMethod_Identifier,LabSamplePrepMethod_IdentifierContext,LabSamplePrepMethod_Name,LabSamplePrepMethod_QualifierType,LabSamplePrepMethod_Description,LabSamplePrepMethod_StartDate,LabSamplePrepMethod_StartTime,LabSamplePrepMethod_StartTimeZone,LabSamplePrepMethod_EndDate,LabSamplePrepMethod_EndTime,LabSamplePrepMethod_EndTimeZone,LabSamplePrepMethod_DilutionFactor,ResultAttachment_FileName,ResultAttachment_FileType,ResultAttachment_FileDownload,ProviderName,Result_CharacteristicComparable,Result_CharacteristicGroup,Org_Type,LastChangeDate,USGSpcode,USGSSampleAquifer
USGS,U.S. Geological Survey,"[""USGS"",""WQNPFAS19""]",,,,,,USGS-01547980,"Beech Creek at Beech Creek, PA",Stream,,Pennsylvania,United States of America,Centre County,US,PA,,02050204,020502040205,,,41.0747875105012,-77.5913805642619,NAD83,41.0747875105012,-77.5913805642619,NAD83,,5f746668-ccd0-4aef-b35f-a231fd6158bc,,Sample-Routine,Water,Surface water,,,,U.S. Geological Survey-Water Resources Discipline,,,,,,,,,,,,,2019-09-10,10:45:00,EDT,,,,,,,,,,,,40,USDOI/USGS,Multiple verticals,,Depth-integrated: Multiple verticals,,,,,,,,,,,,,,"Stable, normal stage",Routine sample,,,,,Not Detected,Lead,"Lead, water, unfiltered, recoverable",7439-92-1,,Unfiltered,,,,,,,,,,,,,,,,,,,932b6377-d423-4f86-a6b2-62922503c2e8,,,,Accepted,,,Actual,,,,,,,,,,,Censoring Level,1.00,ug/L,Quantitation limit value associated with a < or > legacy remark code in USGS source data,,,,,,,,,,PLM82,USDOI/USGS,"Trace elements, wu, ICP-MS (PA)",,DESCRIPTION: Trace elements in unfiltered water by inductively coupled plasma-mass spectrometry (EPA 200.8; PA WSC; PA-DEP); CITATION(S): USEPA | 200.8,,,,Pennsylvania Department of Environmental Protection,,,,,,,,,,,,,,,,,,,,,,,USGS,,"Inorganics, Minor, Metals",Federal/US Government,2026-07-21,01051,
USGS,U.S. Geological Survey,"[""USGS"",""00003LB00""]",,,,,,USGS-01208049,"NAUGATUCK RIVER NR WATERVILLE,CT.",Stream,,Connecticut,United States of America,Naugatuck Valley Planning Region,US,CT,,01100005,011000051105,,,41.61526533040098,-73.05786576255424,NAD83,41.61526533040098,-73.05786576255424,NAD83,,f955716c-0597-4c50-9abe-5265d33d09bf,,Sample-Routine,Water,Surface water,,,,U.S. Geological Survey-Water Resources Discipline,,,,,,,,,,,,,2013-11-12,09:30:00,EST,,,,,,,,,,,,70,USDOI/USGS,Grab/dip,,Point / Grab: Grab sample (dip),,,,,,,,,,,,,,"Stable, normal stage",Routine sample,,,,,,pH,"pH, water, unfiltered, field",,,Unfiltered,,,,,,,,,,,,,,,,,,,791c9edd-86b7-434f-b1fc-ed12e3e8d3b6,7.6,standard units,,Accepted,,,Actual,,,,,,,,,,,,,,,,,,,,,,,,EL003,USDOI/USGS,"pH, wu, field, electrometry",,"DESCRIPTION: pH,WWR,FLD, ELEC; CITATION(S): USGS | I-1586-77",,,,U.S. Geological Survey-Water Resources Discipline,,,,,,,,,,,,,,,,,,,,,,,USGS,,Physical,Federal/US Government,2026-07-21,00400,
USGS,U.S. Geological Survey,"[""USGS"",""0001U300""]",,,,,,USGS-02207385,"BIG HAYNES CREEK AT LENORA ROAD, NR SNELLVILLE, GA",Stream,,Georgia,United States of America,Gwinnett County,US,GA,,03070103,,,,33.8152777777778,-83.9901388888889,NAD83,33.8152777777778,-83.9901388888889,NAD83,,7377906a-0dab-4f3c-9295-8f8c67367d97,,Sample-Integrated Time Series,Water,Surface water,,,,U.S. Geological Survey-Water Resources Discipline,,,,,,,,,,,,,2014-10-14,09:24:00,EDT,2014-10-14,09:48:00,EDT,,,,,,,,,50,USDOI/USGS,Point sample,,Point / Grab: Point sample,"Sampler, point, automatic",,,,,,,,,,,,,Not applicable,Storm,,,,,,Turbidity,"Turbidity (nephelometry), broad band (BB) light source (400 nanometers to 680 nanometers), detection angle 60 degrees to 120 degrees relative to incident light",,,Unfiltered,,,,,,,,,,,,,,,,,,,791ca1a7-290c-4551-aa77-9d3d565164aa,97,NTU,,Accepted,,,Actual,,,,,,,,,,Added qualifier codes: none. RTI Sample: 1410599-001,,,,,Laboratory Reporting Level,0.1,NTU,Quantitation limit value of the specified type,,,,,,TS028,USDOI/USGS,Other NTU instrument,,"DESCRIPTION: Other NTU instrument, sensor model undefined; CITATION(S): No citations are available for this method",,,,"RTI Laboratories Inc., Livonia, Michigan",2014-10-15,,,,,,[c - see result laboratory comment],,,,,,,,,,,,,,,,USGS,,Physical,Federal/US Government,2026-07-21,63675,
USGS,U.S. Geological Survey,"[""USGS"",""250300370""]",,,,,,USGS-02392000,"ETOWAH RIVER AT CANTON, GA",Stream,,Georgia,United States of America,Cherokee County,US,GA,,03150104,,,,34.2401944444444,-84.4945277777778,NAD83,34.2401944444444,-84.4945277777778,NAD83,,23f3f136-77f0-4e8e-ac2f-550adae3fce0,,Sample-Routine,Water,Surface water,,,,U.S. Geological Survey-Water Resources Discipline,GAEPD ID: RV_14_4549,,,,,,,,,,,,2015-08-17,11:35:00,EDT,,,,,,,,,,,,70,USDOI/USGS,Grab/dip,,Point / Grab: Grab sample (dip),Weighted bottle,,,,,,,,,,,,,Not determined,Routine sample,,,,,,pH,"pH, water, unfiltered, field",,,Unfiltered,,,,,,,,,,,,,,,,,,,5239ba2e-d6c7-4df3-bceb-f562f4f9b718,7.1,standard units,,Accepted,,,Actual,,,,,,,,,,,,,,,,,,,,,,,,PROBE,USDOI/USGS,"pH, field, electrometric",,"DESCRIPTION: pH, field, electrometric; CITATION(S): U.S. Geological Survey, [variously dated], pH, in National field manual for the collection of water-quality data: U.S. Geological Survey Techniques of Water-Resources Investigations, book 9, chap. A6.4, available online at https://www.usgs.gov/mission-areas/water-resources/science/national-field-manual-collection-water-quality-data-nfm. | USGS | NFM 6.4",,,,U.S. Geological Survey-Water Resources Discipline,,,,,,,,,,,,,,,,,,,,,,,USGS,,Physical,Federal/US Government,2026-07-20,00400,
USGS,U.S. Geological Survey,"[""USGS"",""000032900""]",,,,,,USGS-402123105370401,"BIG THOMPSON R NR FERN LAKE ROAD, RMNP, CO",Stream,,Colorado,United States of America,Larimer County,US,CO,,10190006,101900060202,,,40.35645,-105.617647222222,NAD83,40.35645,-105.617647222222,NAD83,,861fecfc-d3fc-480c-b6f8-7b190c7b5e2e,,Sample-Routine,Water,Surface water,,,,USGS - Colorado Water Science Center,"A-1700135 TPCN FILTER VOLUMES: A = 600mL,B = 620mL; 2 FILTERS FOR TPCN PER ALISA MAST FOR HBN PROGRAM",,,,,,,,,,,,2013-06-18,09:30:00,MDT,,,,,,,,,,,,10,USDOI/USGS,EWI,,Depth-integrated: Equal-width-increment (EWI),US DH-81,,,,,,,,,,,,,"Stable, normal stage",Routine sample,,,,,Not Detected,Turbidity,"Turbidity (ratiometric), broad band (BB) light source (400 nanometers to 680 nanometers), detectors at multiple angles including 60 degrees to 120 degrees",,,Unfiltered,,,,,,,,,,,,,,,,,,,31ce884c-a179-4a85-877f-32eb9e211351,,,,Accepted,,,Actual,,,,,,,,,,,Censoring Level,2.0,NTRU,Quantitation limit value associated with a < or > legacy remark code in USGS source data,Lower Reporting Limit,2.0,NTRU,Quantitation limit value of the specified type,,,,,,TS098,USDOI/USGS,"HACH, sensor model 2100 AN, R-On",,"DESCRIPTION: HACH, sensor model 2100 AN (Ratio ON), NTRU; CITATION(S): USEPA | 180.1 |<--->| Standard methods for the examination of water and wastewater | STDMETH | 2130 B |<--->| Hach Company, 2014, 2100AN Laboratory Turbidimeter user manual, 11/2014, edition 6, Loveland, Colorado, Hach Company | HACH ",,,,"USGS-National Water Quality Lab, Denver, CO",2013-06-26,,,,,,,,,,,,,,,,,,,,,,USGS,,Physical,Federal/US Government,2026-07-21,63676,
USGS,U.S. Geological Survey,"[""USGS"",""00003R900""]",,,,,,USGS-07052500,"James River at Galena, MO",Stream,,Missouri,United States of America,Stone County,US,MO,,11010002,110100020508,,,36.8053888888889,-93.4615833333333,NAD83,36.8053888888889,-93.4615833333333,NAD83,,2cb7674f-a3be-4eff-b40d-8652c85b3cee,,Sample-Routine,Water,Surface water,,,,U.S. Geological Survey-Water Resources Discipline,,,,,,,,,,,,,2019-06-11,11:00:00,CDT,,,,,,,,,,,,15,USDOI/USGS,"EWT, multiple verticals",,"Depth-integrated: 10 or more equal-width verticals, non-isokinetic transit rate limited by velocity (EWT)",US DH-81,,,,,,,,,,,,,"Stable, normal stage",Routine sample,,,,,,pH,"pH, water, unfiltered, field",,,Unfiltered,,,,,,,,,,,,,,,,,,,5239c651-abde-4993-ae87-f84bcf02b9f3,7.9,standard units,,Accepted,,,Actual,,,,,,,,,,,,,,,,,,,,,,,,PROBE,USDOI/USGS,"pH, field, electrometric",,"DESCRIPTION: pH, field, electrometric; CITATION(S): U.S. Geological Survey, [variously dated], pH, in National field manual for the collection of water-quality data: U.S. Geological Survey Techniques of Water-Resources Investigations, book 9, chap. A6.4, available online at https://www.usgs.gov/mission-areas/water-resources/science/national-field-manual-collection-water-quality-data-nfm. | USGS | NFM 6.4",,,,U.S. Geological Survey-Water Resources Discipline,,,,,,,,,,,,,,,,,,,,,,,USGS,,Physical,Federal/US Government,2026-07-20,00400,
USGS,U.S. Geological Survey,"[""USGS"",""00003LB00""]",,,,,,USGS-01208950,"SASCO BROOK NEAR SOUTHPORT, CT",Stream,,Connecticut,United States of America,Greater Bridgeport Planning Region,US,CT,,01100006,011000060303,,,41.15277077049759,-73.30593263819259,NAD83,41.15277077049759,-73.30593263819259,NAD83,,911640cf-a1fb-44b3-8016-6cee250fda32,,Sample-Routine,Water,Surface water,,,,U.S. Geological Survey-Water Resources Discipline,,,,,,,,,,,,,2013-06-10,11:30:00,EST,,,,,,,,,,,,30,USDOI/USGS,Single vertical DI,,"Depth-integrated: Single vertical, depth integrated",US DH-81,,,,,,,,,,,,,Falling stage,Routine sample,,,,,,pH,"pH, water, unfiltered, field",,,Unfiltered,,,,,,,,,,,,,,,,,,,5239c723-14e3-4a3f-ac85-1ea6d4b5ad34,7.2,standard units,,Accepted,,,Actual,,,,,,,,,,,,,,,,,,,,,,,,EL003,USDOI/USGS,"pH, wu, field, electrometry",,"DESCRIPTION: pH,WWR,FLD, ELEC; CITATION(S): USGS | I-1586-77",,,,U.S. Geological Survey-Water Resources Discipline,,,,,,,,,,,,,,,,,,,,,,,USGS,,Physical,Federal/US Government,2026-07-20,00400,
USGS,U.S. Geological Survey,"[""USGS"",""000032900""]",,,,,,USGS-400453105554200,"FRASER RIVER AT HWY. 40 AT GRANBY, CO",Stream,,Colorado,United States of America,Grand County,US,CO,,14010001,140100010210,,,40.0813748160166,-105.928903626174,NAD83,40.0813748160166,-105.928903626174,NAD83,,68b2cfd3-0db6-4485-9c39-526fc4287435,,Sample-Routine,Water,Surface water,,,,U.S. Geological Survey-Water Resources Discipline,,,,,,,,,,,,,2014-05-28,15:00:00,MDT,,,,,,,,,,,,10,USDOI/USGS,EWI,,Depth-integrated: Equal-width-increment (EWI),"US DH-95, Teflon bottle",,,,,,,,,,,,,"Stable, high stage",Routine sample,,,,,,pH,"pH, water, unfiltered, field",,,Unfiltered,,,,,,,,,,,,,,,,,,,5239c724-bf0d-46b0-ab87-fba8ed6bfa10,7.4,standard units,,Accepted,,,Actual,,,,,,,,,,,,,,,,,,,,,,,,PROBE,USDOI/USGS,"pH, field, electrometric",,"DESCRIPTION: pH, field, electrometric; CITATION(S): U.S. Geological Survey, [variously dated], pH, in National field manual for the collection of water-quality data: U.S. Geological Survey Techniques of Water-Resources Investigations, book 9, chap. A6.4, available online at https://www.usgs.gov/mission-areas/water-resources/science/national-field-manual-collection-water-quality-data-nfm. | USGS | NFM 6.4",,,,U.S. Geological Survey-Water Resources Discipline,,,,,,,,,,,,,,,,,,,,,,,USGS,,Physical,Federal/US Government,2026-07-20,00400,
USGS,U.S. Geological Survey,"[""USGS"",""10BVR0000""]",,,,,,USGS-06893830,"Adair Creek at Independence, MO",Stream,,Missouri,United States of America,Jackson County,US,MO,,10300101,103001010206,,,39.0377777777778,-94.3633333333333,NAD83,39.0377777777778,-94.3633333333333,NAD83,,a2735d14-484a-42a2-900d-7c28c1076957,,Sample-Integrated Time Series,Water,Surface water,,,,U.S. Geological Survey-Water Resources Discipline,"no tare weight on bottle. Result previously computed using incorrect enumeration method. Correct U.S. Geological Survey method as documented in USGS TWRI Book 9, Chap A7 used for recomputation. Original value for pcode 50569: 5200, original value for pcode 50468: 100; updated on 11/15/2017 by AKF",,,,,,,,,,,,2011-11-02,19:15:00,CDT,2011-11-02,21:45:00,CDT,,,,,,,,,,,,,,,,,,,,,,,,,,,Not determined,Storm,,,,,,Dissolved oxygen (DO),"Dissolved oxygen (DO), water, unfiltered",7782-44-7,,Unfiltered,,,,,,,,,,,,,,,,,,,932b84df-c324-43c6-baaa-17217fad8b4a,9.2,mg/L,,Accepted,Mean,,Actual,,,,,,,,,,,,,,,,,,,,,,,,LUMIN,USDOI/USGS,"Diss oxygen, luminescence sensor",,"DESCRIPTION: Dissolved Oxygen, Luminescence Quenching (Luminescence-Based Sensor); CITATION(S): U.S. Geological Survey, [variously dated], Dissolved oxygen, in National field manual for the collection of water-quality data: U.S. Geological Survey Techniques of Water-Resources Investigations, book 9, chap. A6.2, available online at https://www.usgs.gov/mission-areas/water-resources/science/national-field-manual-collection-water-quality-data-nfm. |<--->| Annual Book of ASTM Standards | ASTM | D888-05 |<--->| Thermo Fisher Scientific, 2008, Orion Rugged Dissolved Oxygen (RDO) Optical Dissolved Oxygen Sensor User Guide, revision A, 10-08 https://documents.thermofisher.com/TFS-Assets/LSG/manuals/D15864~.pdf",,,,U.S. Geological Survey-Water Resources Discipline,,,,,,,,,,,,,,,,,,,,,,,USGS,,"Inorganics, Major, Non-metals",Federal/US Government,2026-07-21,00300,
USGS,U.S. Geological Survey,"[""NAWQA - National Water-Quality Assessment"",""NAWQA-SWS""]",,,,,,USGS-06800000,"Maple Creek near Nickerson, Nebr.",Stream,,Nebraska,United States of America,Dodge County,US,NE,,10220003,102200030604,,,41.561244,-96.541017,NAD83,41.561244,-96.541017,NAD83,,909abcdf-d394-46f6-9db8-9162ed055f67,,Sample-Routine,Water,Surface water,,,,"USGS Nebraska WSC Water-Quality Lab, Lincoln, NE",Light precip in sand,,,,,,,,,,,,2016-06-07,12:00:00,CDT,,,,,,,,,,,,10,USDOI/USGS,EWI,,Depth-integrated: Equal-width-increment (EWI),"US DH-81, Teflon cap and nozzle",,,,,,,,,,,,,"Stable, high stage",Routine sample,,,,,,pH,"pH, water, unfiltered, field",,,Unfiltered,,,,,,,,,,,,,,,,,,,791cc3e2-ee51-428a-9337-08e24506605c,8.3,standard units,,Accepted,,,Actual,,,,,,,,,,,,,,,,,,,,,,,,PROBE,USDOI/USGS,"pH, field, electrometric",,"DESCRIPTION: pH, field, electrometric; CITATION(S): U.S. Geological Survey, [variously dated], pH, in National field manual for the collection of water-quality data: U.S. Geological Survey Techniques of Water-Resources Investigations, book 9, chap. A6.4, available online at https://www.usgs.gov/mission-areas/water-resources/science/national-field-manual-collection-water-quality-data-nfm. | USGS | NFM 6.4",,,,U.S. Geological Survey-Water Resources Discipline,,,,,,,,,,,,,,,,,,,,,,,USGS,,Physical,Federal/US Government,2026-07-21,00400,
