iter	RMSE
0	0.2254262703
1	0.2236762626
2	0.2220121252
3	0.2209549287
4	0.2196228541
5	0.218347641
6	0.2175545806
7	0.2169456924
8	0.2157842589
9	0.2149355467
10	0.2139298541
11	0.2129640256
12	0.2115527464
13	0.2106285726
14	0.2095253825
15	0.2084101628
16	0.2073888825
17	0.2067244959
18	0.206047997
19	0.2051904915
20	0.2049710834
21	0.2041729613
22	0.2039479708
23	0.2031916117
24	0.2024358975
25	0.2017115408
26	0.2005155656
27	0.19986981
28	0.1990417367
29	0.1984326043
30	0.1976552111
31	0.1970027882
32	0.1965871926
33	0.1957570887
34	0.1946435654
35	0.1940262952
36	0.1934473431
37	0.1927231753
38	0.1918631952
39	0.1910377535
40	0.1902408387
41	0.1892857885
42	0.1887616937
43	0.1879580731
44	0.1875881599
45	0.1869563621
46	0.1863474167
47	0.1859211637
48	0.1853421701
49	0.1851133094
50	0.1845614001
51	0.183967884
52	0.1829387684
53	0.1823249313
54	0.1816423088
55	0.181502914
56	0.1804412861
57	0.1799558121
58	0.1792446096
59	0.1786183992
60	0.1780975174
61	0.1775577941
62	0.177412181
63	0.1771118585
64	0.1768730064
65	0.1764219154
66	0.1755993934
67	0.1748150158
68	0.1740884354
69	0.1737279981
70	0.173215588
71	0.1728534663
72	0.1722434885
73	0.1718725933
74	0.171173819
75	0.1707724577
76	0.17040117
77	0.1700211582
78	0.1694991072
79	0.1690988733
80	0.1687133076
81	0.1681135052
82	0.1675456254
83	0.1671734259
84	0.1669127828
85	0.1667111563
86	0.166390712
87	0.1660965068
88	0.1657490015
89	0.1646793945
90	0.1639929644
91	0.1629734926
92	0.1628156273
93	0.1626508107
94	0.1623721354
95	0.1621675284
96	0.1616298323
97	0.1614355589
98	0.16094933
99	0.1605590232
