iter	Passed	Remaining
0	1	179
1	2	146
2	4	133
3	4	119
4	5	111
5	6	106
6	7	100
7	8	98
8	9	96
9	10	94
10	11	91
11	12	89
12	12	86
13	13	84
14	14	82
15	15	81
16	16	81
17	17	80
18	18	80
19	19	79
20	20	78
21	21	76
22	23	77
23	24	76
24	25	75
25	26	74
26	26	72
27	27	71
28	29	71
29	30	70
30	31	69
31	33	70
32	34	69
33	35	68
34	36	68
35	37	67
36	38	66
37	39	64
38	40	63
39	41	62
40	42	61
41	43	60
42	44	59
43	45	58
44	46	57
45	47	56
46	48	54
47	49	53
48	50	52
49	51	51
50	52	50
51	54	50
52	55	49
53	56	48
54	58	47
55	59	46
56	60	45
57	62	45
58	63	43
59	64	43
60	65	42
61	67	41
62	68	40
63	69	38
64	70	37
65	71	36
66	72	35
67	74	34
68	75	33
69	76	32
70	77	31
71	78	30
72	79	29
73	80	28
74	81	27
75	82	26
76	83	24
77	85	24
78	86	23
79	88	22
80	90	21
81	91	20
82	93	19
83	95	18
84	96	17
85	97	15
86	99	14
87	100	13
88	101	12
89	103	11
90	104	10
91	105	9
92	106	8
93	107	6
94	108	5
95	109	4
96	110	3
97	111	2
98	111	1
99	113	0
