OrganizationIdentifier,OrganizationFormalName,ActivityIdentifier,ActivityTypeCode,ActivityMediaName,ActivityMediaSubdivisionName,ActivityStartDate,ActivityStartTime/Time,ActivityStartTime/TimeZoneCode,ActivityEndDate,ActivityEndTime/Time,ActivityEndTime/TimeZoneCode,ActivityRelativeDepthName,ActivityDepthHeightMeasure/MeasureValue,ActivityDepthHeightMeasure/MeasureUnitCode,ActivityDepthAltitudeReferencePointText,ActivityTopDepthHeightMeasure/MeasureValue,ActivityTopDepthHeightMeasure/MeasureUnitCode,ActivityBottomDepthHeightMeasure/MeasureValue,ActivityBottomDepthHeightMeasure/MeasureUnitCode,ProjectIdentifier,ProjectName,ActivityConductingOrganizationText,MonitoringLocationIdentifier,MonitoringLocationName,ActivityCommentText,SampleAquifer,HydrologicCondition,HydrologicEvent,ActivityLocation/LatitudeMeasure,ActivityLocation/LongitudeMeasure,SampleCollectionMethod/MethodIdentifier,SampleCollectionMethod/MethodIdentifierContext,SampleCollectionMethod/MethodName,SampleCollectionMethod/MethodDescriptionText,SampleCollectionEquipmentName,ResultIdentifier,ResultDetectionConditionText,MethodSpeciationName,CharacteristicName,ResultSampleFractionText,ResultMeasureValue,ResultMeasure/MeasureUnitCode,MeasureQualifierCode,ResultStatusIdentifier,StatisticalBaseCode,ResultValueTypeName,ResultWeightBasisText,ResultTimeBasisText,ResultTemperatureBasisText,ResultParticleSizeBasisText,DataQuality/PrecisionValue,DataQuality/BiasValue,DataQuality/ConfidenceIntervalValue,DataQuality/UpperConfidenceLimitValue,DataQuality/LowerConfidenceLimitValue,ResultCommentText,USGSPCode,ResultDepthHeightMeasure/MeasureValue,ResultDepthHeightMeasure/MeasureUnitCode,ResultDepthAltitudeReferencePointText,SubjectTaxonomicName,SampleTissueAnatomyName,BinaryObjectFileName,BinaryObjectFileTypeCode,ResultFileUrl,ResultAnalyticalMethod/MethodIdentifier,ResultAnalyticalMethod/MethodIdentifierContext,ResultAnalyticalMethod/MethodName,ResultAnalyticalMethod/MethodUrl,ResultAnalyticalMethod/MethodDescriptionText,LaboratoryName,AnalysisStartDate,ResultLaboratoryCommentText,ResultDetectionQuantitationLimitUrl,DetectionQuantitationLimitTypeName,DetectionQuantitationLimitMeasure/MeasureValue,DetectionQuantitationLimitMeasure/MeasureUnitCode,LabSamplePreparationUrl,LastUpdated,ProviderName
USGS-MT,USGS Montana Water Science Center,nwismt.01.01004380,Sample-Routine,Water,Surface Water,2010-06-23,19:13:00,MDT,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-05020500,,,,"Stable, normal stage",Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-85775677,,,"Height, gage",,6.93,ft,,Accepted,,Actual,,,,,,,,,,,00065,,,,,,,,,,,,,,,,,,,,,,,NWIS
USGS-MT,USGS Montana Water Science Center,nwismt.01.01004380,Sample-Routine,Water,Surface Water,2010-06-23,19:13:00,MDT,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-05020500,,,,"Stable, normal stage",Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-85775678,,,"Height, gage",,2.11,m,,Accepted,,Actual,,,,,,,,,,,30207,,,,,,,,,ALGOR,USGS,Computation by NWIS algorithm,,"NWIS User's Manual, QW System, Section 3.6.7",,,,,,,,,,NWIS
USGS-MT,USGS Montana Water Science Center,nwismt.01.01001772,Sample-Routine,Water,Surface Water,2010-07-20,09:00:00,MDT,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-12355000,,"L-2070016 Received July 23, 2010",,"Stable, normal stage",Routine sample,,,10,USGS parameter code 82398,Equal width increment (ewi),,US DH-81,NWIS-85727417,,,Stream width measure,,141,ft,,Accepted,,Actual,,,,,,,,,,,00004,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,,,,,,,,,NWIS
USGS-MT,USGS Montana Water Science Center,nwismt.01.01001772,Sample-Routine,Water,Surface Water,2010-07-20,09:00:00,MDT,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-12355000,,"L-2070016 Received July 23, 2010",,"Stable, normal stage",Routine sample,,,10,USGS parameter code 82398,Equal width increment (ewi),,US DH-81,NWIS-85727418,,,"Temperature, water",,9.0,deg C,,Accepted,,Actual,,,,,,,,,,,00010,,,,,,,,,THM01,USGS,"Temperature, water, thermistor",,"USGS National Field Manual, Chapter A6.1",U.S. Geological Survey-Water Resources Discipline,,,,,,,,,NWIS
USGS-MT,USGS Montana Water Science Center,nwismt.01.01001772,Sample-Routine,Water,Surface Water,2010-07-20,09:00:00,MDT,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-12355000,,"L-2070016 Received July 23, 2010",,"Stable, normal stage",Routine sample,,,10,USGS parameter code 82398,Equal width increment (ewi),,US DH-81,NWIS-85727419,,,"Temperature, air",,10.0,deg C,,Accepted,,Actual,,,,,,,,,,,00020,,,,,,,,,THM04,USGS,"Temperature, air, thermistor",,"USGS National Field Manual, Chapter A6.1",U.S. Geological Survey-Water Resources Discipline,,,,,,,,,NWIS
USGS-MT,USGS Montana Water Science Center,nwismt.01.01001772,Sample-Routine,Water,Surface Water,2010-07-20,09:00:00,MDT,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-12355000,,"L-2070016 Received July 23, 2010",,"Stable, normal stage",Routine sample,,,10,USGS parameter code 82398,Equal width increment (ewi),,US DH-81,NWIS-85727420,,,Barometric pressure,,675,mm/Hg,,Accepted,,Actual,,,,,,,,,,,00025,,,,,,,,,BAROM,USGS,"Atmospheric pressure, barometer",,USGS National Field Manual,U.S. Geological Survey-Water Resources Discipline,,,,,,,,,NWIS
USGS-MT,USGS Montana Water Science Center,nwismt.01.01001772,Sample-Routine,Water,Surface Water,2010-07-20,09:00:00,MDT,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-12355000,,"L-2070016 Received July 23, 2010",,"Stable, normal stage",Routine sample,,,10,USGS parameter code 82398,Equal width increment (ewi),,US DH-81,NWIS-85727421,,,"Stream flow, instantaneous",,693,ft3/s,,Accepted,,Actual,,,,,,,,,,,00061,,,,,,,,,QSTGQ,USGS,"Discharge, stg-disch rating",,USGS TWRI 3-A10,U.S. Geological Survey-Water Resources Discipline,,,,,,,,,NWIS
USGS-MT,USGS Montana Water Science Center,nwismt.01.01001772,Sample-Routine,Water,Surface Water,2010-07-20,09:00:00,MDT,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-12355000,,"L-2070016 Received July 23, 2010",,"Stable, normal stage",Routine sample,,,10,USGS parameter code 82398,Equal width increment (ewi),,US DH-81,NWIS-85727423,,,"Height, gage",,5.31,ft,,Accepted,,Actual,,,,,,,,,,,00065,,,,,,,,,STRAN,USGS,"Gage height, subm press trans",,USGS TWRI 8-A3,U.S. Geological Survey-Water Resources Discipline,,,,,,,,,NWIS
USGS-MT,USGS Montana Water Science Center,nwismt.01.01001772,Sample-Routine,Water,Surface Water,2010-07-20,09:00:00,MDT,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-12355000,,"L-2070016 Received July 23, 2010",,"Stable, normal stage",Routine sample,,,10,USGS parameter code 82398,Equal width increment (ewi),,US DH-81,NWIS-85727424,,,Specific conductance,Total,233,uS/cm @25C,,Accepted,,Actual,,,25 deg C,,,,,,,,00095,,,,,,,,,SC001,USGS,Specific conductance sensor,,"USGS National Field Manual, Chapter A6.3",U.S. Geological Survey-Water Resources Discipline,,,,,,,,,NWIS
USGS-MT,USGS Montana Water Science Center,nwismt.01.01001772,Sample-Routine,Water,Surface Water,2010-07-20,09:00:00,MDT,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-12355000,,"L-2070016 Received July 23, 2010",,"Stable, normal stage",Routine sample,,,10,USGS parameter code 82398,Equal width increment (ewi),,US DH-81,NWIS-85727425,,,"Acidity, (H+)",Total,0.00001,mg/l,,Accepted,,Actual,,,,,,,,,,,00191,,,,,,,,,ALGOR,USGS,Computation by NWIS algorithm,,"NWIS User's Manual, QW System, Section 3.6.7",,,,,,,,,,NWIS
