iter	Passed	Remaining
0	3	306
1	6	313
2	9	315
3	13	315
4	15	302
5	18	295
6	22	292
7	25	288
8	28	284
9	30	278
10	33	274
11	36	270
12	39	265
13	42	263
14	46	262
15	49	259
16	53	259
17	56	255
18	59	253
19	62	251
20	66	248
21	69	247
22	73	244
23	76	242
24	80	240
25	83	237
26	86	234
27	89	230
28	92	227
29	96	224
30	100	222
31	103	219
32	106	217
33	110	214
34	113	211
35	117	208
36	120	204
37	123	201
38	126	198
39	129	194
40	133	191
41	136	188
42	139	185
43	142	181
44	146	178
45	149	175
46	152	172
47	156	169
48	161	168
49	165	165
50	168	162
51	172	158
52	175	155
53	178	152
54	182	149
55	185	145
56	189	142
57	192	139
58	195	136
59	198	132
60	202	129
61	205	126
62	209	123
63	212	119
64	216	116
65	219	113
66	222	109
67	226	106
68	229	103
69	232	99
70	235	96
71	239	93
72	242	89
73	245	86
74	249	83
75	252	79
76	255	76
77	258	72
78	261	69
79	264	66
80	267	62
81	271	59
82	273	56
83	276	52
84	279	49
85	282	46
86	286	42
87	290	39
88	293	36
89	297	33
90	302	29
91	305	26
92	308	23
93	311	19
94	314	16
95	317	13
96	320	9
97	323	6
98	327	3
99	330	0
