epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,37.9868,1.66798,3.87973,1.42896,0.00886,0.60882,0.01402,0.0058,1.32888,3.80618,1.27683,2.5e-05,2.5e-05,2.5e-05
2,72.9406,1.67812,3.77992,1.43012,0.01025,0.60956,0.09146,0.03615,1.29732,3.75347,1.24262,5.94062e-05,5.94062e-05,5.94062e-05
3,104.22,1.50201,3.51151,1.34907,0.01319,0.59387,0.14008,0.05664,1.29387,3.69233,1.21555,9.01e-05,9.01e-05,9.01e-05
4,135.148,1.5708,3.14724,1.36873,0.01838,0.55882,0.1279,0.06899,1.31248,3.61672,1.19571,0.000117081,0.000117081,0.000117081
5,165.794,1.47923,2.69126,1.33342,0.02649,0.63995,0.12746,0.06046,1.29553,3.53555,1.18656,0.00014035,0.00014035,0.00014035
6,196.558,1.42877,2.14742,1.31883,0.03177,0.63848,0.12279,0.05996,1.27563,3.46212,1.18742,0.000159906,0.000159906,0.000159906
7,227.459,1.47297,2.05542,1.35244,0.03889,0.63554,0.11362,0.05487,1.2672,3.37846,1.1976,0.00017575,0.00017575,0.00017575
8,258.909,1.45327,1.81891,1.30255,0.04136,0.63211,0.10461,0.05142,1.25252,3.33713,1.19689,0.000187881,0.000187881,0.000187881
9,290.157,1.48594,2.15761,1.38546,0.04562,0.62574,0.08131,0.04112,1.23431,3.29237,1.2009,0.0001963,0.0001963,0.0001963
10,319.377,1.40949,1.85695,1.33154,0.0446,0.62181,0.07479,0.03873,1.20868,3.28452,1.19424,0.000201006,0.000201006,0.000201006
11,352.154,1.42657,1.96291,1.3132,0.03696,0.61054,0.07479,0.03958,1.21119,3.27045,1.20595,0.000202,0.000202,0.000202
12,382.596,1.37664,1.93258,1.33881,0.03336,0.60466,0.07629,0.0395,1.20897,3.25529,1.20061,0.000199281,0.000199281,0.000199281
13,412.861,1.33437,1.8585,1.29031,0.83625,0.08627,0.08011,0.04318,1.20914,3.15558,1.18646,0.00019285,0.00019285,0.00019285
14,443.612,1.38477,1.82238,1.29334,0.82862,0.09512,0.09375,0.05069,1.20338,3.09505,1.17569,0.000182706,0.000182706,0.000182706
15,473.615,1.3053,1.80805,1.27974,0.85355,0.08942,0.15496,0.105,1.22088,2.98051,1.16964,0.00016885,0.00016885,0.00016885
16,504.925,1.30154,1.67719,1.26402,0.8658,0.08206,0.16747,0.10864,1.22496,2.92937,1.16561,0.000151281,0.000151281,0.000151281
17,535,1.32617,1.70375,1.26266,0.8787,0.06865,0.17274,0.11594,1.18905,2.84281,1.14996,0.00013,0.00013,0.00013
18,565.387,1.30281,1.76387,1.28017,0.87904,0.06373,0.17557,0.11861,1.17015,2.7988,1.14408,0.000105006,0.000105006,0.000105006
19,596.171,1.27629,1.70245,1.23403,0.88105,0.06275,0.19346,0.13115,1.1618,2.75407,1.14316,7.63e-05,7.63e-05,7.63e-05
20,626.222,1.2474,1.62268,1.22752,0.88207,0.06324,0.19778,0.13441,1.15639,2.70782,1.14201,4.38813e-05,4.38813e-05,4.38813e-05
